drug_class,exposure_definition,variable,smd_before,smd_after_ipw
opioid,current_use,drug_gout_drug,0.1067,0.0547
opioid,current_use,drug_benzodiazepine,0.4991,0.0496
opioid,current_use,drug_sulfonylurea,0.1125,0.102
opioid,current_use,drug_thyroid,0.1434,0.0429
opioid,current_use,drug_bisphosphonate,0.058,0.0307
opioid,current_use,drug_potassium_sparing,0.1053,0.068
opioid,current_use,drug_count_x_age,1.0174,0.3146
opioid,current_use,drug_count_x_bmi,0.9789,0.3073
opioid,current_use,drug_count_x_egfr,1.0989,0.3378
opioid,current_use,drug_count_x_bmi_missing,0.0599,0.0164
opioid,current_use,drug_count_x_egfr_missing,0.0154,0.0492
nsaid,current_use,RIDAGEYR,0.3814,0.1972
nsaid,current_use,sex_binary,0.2297,0.0359
nsaid,current_use,RIDRETH1,0.0668,0.0203
nsaid,current_use,BMXBMI,0.3642,0.0652
nsaid,current_use,BMXWAIST,0.3485,0.0922
nsaid,current_use,INDFMPIR,0.2254,0.0103
nsaid,current_use,LBXSCA,0.0013,0.0025
nsaid,current_use,LBXSUA,0.0147,0.0362
nsaid,current_use,LBXSPH,0.011,0.0088
nsaid,current_use,LBXSC3SI,0.0033,0.0196
nsaid,current_use,LBXSBU,0.1812,0.0841
nsaid,current_use,LBXSCR,0.0388,0.0602
nsaid,current_use,egfr,0.2606,0.1596
nsaid,current_use,acr,0.0393,0.0436
nsaid,current_use,systolic_bp,0.1431,0.0278
nsaid,current_use,diastolic_bp,0.049,0.0494
nsaid,current_use,smoking_status,0.1387,0.0466
nsaid,current_use,diabetes_status,0.2049,0.151
nsaid,current_use,physically_active,0.2528,0.0846
nsaid,current_use,MCQ160B,0.0658,0.0898
nsaid,current_use,MCQ160C,0.047,0.1061
nsaid,current_use,BPQ020,0.4151,0.154
nsaid,current_use,BPQ080,0.3167,0.1313
nsaid,current_use,drug_count,1.0676,0.4073
nsaid,current_use,drug_statin,0.3004,0.1381
nsaid,current_use,drug_ace_inhibitor,0.2963,0.0882
nsaid,current_use,drug_beta_blocker,0.1864,0.1734
nsaid,current_use,drug_thiazide,0.2851,0.0791
nsaid,current_use,drug_ppi,0.4555,0.1443
nsaid,current_use,drug_ccb,0.2115,0.1242
nsaid,current_use,drug_metformin,0.1988,0.0873
nsaid,current_use,drug_arb,0.1686,0.0901
nsaid,current_use,drug_ssri,0.312,0.1136
nsaid,current_use,drug_opioid,0.5113,0.1204
nsaid,current_use,drug_antiepileptic,0.3227,0.125
nsaid,current_use,drug_loop_diuretic,0.1075,0.1098
nsaid,current_use,drug_alpha_blocker,0.1215,0.0757
nsaid,current_use,drug_gout_drug,0.1624,0.086
nsaid,current_use,drug_benzodiazepine,0.2474,0.1355
nsaid,current_use,drug_sulfonylurea,0.1277,0.0865
nsaid,current_use,drug_thyroid,0.1651,0.0617
nsaid,current_use,drug_bisphosphonate,0.1134,0.0324
nsaid,current_use,drug_potassium_sparing,0.0779,0.0395
nsaid,current_use,drug_count_x_age,0.8979,0.3667
nsaid,current_use,drug_count_x_bmi,0.9451,0.336
nsaid,current_use,drug_count_x_egfr,1.0449,0.3689
nsaid,current_use,drug_count_x_bmi_missing,0.0351,0.0042
nsaid,current_use,drug_count_x_egfr_missing,0.048,0.0007
statin,current_use,RIDAGEYR,1.3936,0.6113
statin,current_use,sex_binary,0.1053,0.0173
statin,current_use,RIDRETH1,0.0527,0.0091
statin,current_use,BMXBMI,0.2201,0.0998
statin,current_use,BMXWAIST,0.4468,0.1862
statin,current_use,INDFMPIR,0.0982,0.0542
statin,current_use,LBXSCA,0.1007,0.0467
statin,current_use,LBXSUA,0.2479,0.1341
statin,current_use,LBXSPH,0.033,0.0084
statin,current_use,LBXSC3SI,0.1829,0.0571
statin,current_use,LBXSBU,0.5471,0.2162
statin,current_use,LBXSCR,0.2775,0.0966
